Q8007	5	10979	Franklin_D._Roosevelt	131	0.05909090909090909	2	[1;2;4;6;10;8;9;38;50;3;5;7;29;2000000;37;48;8802;3400000]	[]	[]	[1;2]	[1;2]
Q8027	4	20076	Martin_Luther_King_Jr.	162	0.10909090909090909	2	[1;6;3;2;4;13;15;1000000;306;50;26]	[1]	[1]	[1]	[1;6]
Q6882	1	15600	James_Joyce	94	0.3	2	[1;2;3;5;6;10;500]	[]	[1]	[1;2]	[1;2;3]
Q33760	1	4163	Bertrand_Russell	65	0.3	2	[1;2;18;24;89]	[1]	[1]	[1]	[1]
Q892	2	15872	J._R._R._Tolkien	67	0.21363636363636362	2	[1;2;3;4;12;20]	[]	[1]	[1;2]	[1;2;3]
Q12665	2	60845	Robert_Baden-Powell%2C_1st_Baron_Baden-Powell	29	0.21363636363636362	2	[1;3;2;6]	[]	[1]	[1]	[1;3]
Q504	2	44980	%C3%89mile_Zola	107	0.21363636363636362	2	[2;20;3;4]	[]	[2]	[2;20]	[2;20;3;4]
Q11812	4	29922	Thomas_Jefferson	47	0.10909090909090909	2	[1;3;2;5;4;7;68;9;10;13;14;16;33]	[]	[]	[1]	[1;3]
Q7245	3	154450	Mark_Twain	33	0.16818181818181818	2	[1;2;3;4;71;11]	[]	[1]	[1;2]	[1;2;3]
Q2514	3	49260	Willy_Brandt	62	0.16818181818181818	2	[1;2;3;100;25;9000;50;60;63;65;2500000;10;18;21;300;62;17000000;1000000;2400]	[]	[]	[1]	[1]
Q9191	1	25525	Ren%C3%A9_Descartes	111	0.3	2	[1;2;3;4;42]	[]	[1]	[1;2;3]	[1;2;3;4]
Q254	2	33163	Wolfgang_Amadeus_Mozart	0	0.21363636363636362	2	[3;2;1;4;5;40;6;7;41]	[]	[]	[]	[3;2;1]
Q882	8	5142	Charlie_Chaplin	56	0.02727272727272727	2	[1;2;3;8;14;4;5;6;9;10;100;35;50]	[]	[1]	[1]	[1;2]
Q4700	1	6260	Claude_Debussy	31	0.3	2	[1;2;3;10]	[1]	[1]	[1]	[1;2]
Q9711	1	42368	Honor%C3%A9_de_Balzac	106	0.3	2	[1;2;3;100;4;50;20]	[]	[1]	[1]	[1;2]
Q91	4	307	Abraham_Lincoln	4	0.10909090909090909	2	[1;2;3;4;6;10;13;5;7;20]	[]	[]	[1]	[1;2;3]
Q76428	1	58237	Carl_Philipp_Emanuel_Bach	97	0.3	2	[1;3;6;4;2;21;30;50]	[]	[]	[]	[1;3;6]
Q3816	1	52592	George_Sand	135	0.3	2	[1;2]	[]	[1]	[1;2]	[1;2]
Q25973	1	13578	Hermann_Hesse	101	0.3	2	[1;4;2]	[]	[1]	[1;4]	[1;4;2]
Q160852	4	33954	William_Ewart_Gladstone	120	0.10909090909090909	2	[1;2;3;32000;4;82;85;88;419]	[1]	[1]	[1]	[1;2]
Q310791	3	303688	Jules_Michelet	187	0.16818181818181818	2	[1;2;3]	[1]	[1]	[1;2;3]	[1;2;3]
Q25161	3	55490	Roald_Dahl	112	0.16818181818181818	2	[1;4;5;2;3;80;100;6;7;8;14;22;250000000;50;60]	[]	[1]	[1]	[1;4]
Q409	8	8239846	Bob_Marley	188	0.02727272727272727	2	[1;2;4;3;9;12;56;36;6;7]	[]	[]	[1]	[1;2;4]
Q9682	4	12153654	Elizabeth_II	186	0.10909090909090909	2	[2;1;3;5]	[]	[2]	[2;1]	[2;1;3;5]
Q1541	2	6046	Cicero	115	0.21363636363636362	2	[1;2;5;37]	[]	[1]	[1;2]	[1;2]
Q36591	1	32442	Vladimir_Nabokov	61	0.3	2	[1;2;3;4;5;6;45]	[]	[]	[]	[1;2;3]
Q122972	1	18023	Louis_Agassiz	192	0.3	2	[2;1;4;45]	[]	[2]	[2;1]	[2;1;4]
Q303	1	9288	Elvis_Presley	114	0.3	2	[1;2;3;10;4;5;6;100;8;13;15;18;20;40;1000000;7;14;17;21;28;36]	[]	[1]	[1;2]	[1;2;3]
Q324539	1	543969	Sam_Sheppard	200	0.3	2	[2]	[2]	[2]	[2]	[2]
Q3288389	1	3055932	Tracie_Savage	202	0.3	3	[]	[]	[]	[]	[]
Q1301476	3	1318924	Sunil_Mittal	203	0.16818181818181818	3	[1;18]	[]	[1]	[1;18]	[1;18]
Q152880	1	158366	Iannis_Xenakis	179	0.3	3	[1;54;58]	[]	[1]	[1;54]	[1;54;58]
Q83233	2	16252	Jacques_Cousteau	177	0.21363636363636362	3	[2;1;300000]	[]	[2]	[2;1]	[2;1]
Q454245	2	12438594	Alan_Kelly_(politician)	204	0.21363636363636362	3	[]	[]	[]	[]	[]
Q2599	5	13736167	Paul_McCartney	191	0.05909090909090909	2	[1;2;3;5;4;8;10;17;20;100;7;5000000;2200;30;32;43;64;500;100000000]	[]	[1]	[1;2]	[1;2]
Q2685	5	1806	Arnold_Schwarzenegger	125	0.05909090909090909	2	[1;2;3;15;4;6;7;5;23;66;13;14;20]	[]	[1]	[1;2]	[1;2;3]
Q9061	3	16743	Karl_Marx	69	0.16818181818181818	3	[1;2;3;9;30]	[1]	[1]	[1]	[1;2;3]
Q13575319	6	25069694	William_Jasper_Kerr	205	0.03636363636363636	3	[]	[]	[]	[]	[]
Q151164	1	42691	Andr%C3%A9_Malraux	71	0.3	3	[1;2;3;540]	[]	[1]	[1;2]	[1;2;3;540]
Q5682	1	19444	Miguel_de_Cervantes	50	0.3	3	[1;2;8;4;3;15]	[]	[1]	[1;2]	[1;2;8;4]
Q81082	1	48740	Henri_Poincar%C3%A9	147	0.3	3	[1;2;3]	[]	[1;2]	[1;2]	[1;2;3]
Q6779107	11	16486507	Mary_Bradbury	209	0.013636363636363636	3	[1;85]	[]	[1]	[1;85]	[1;85]
Q1894411	8	25664966	Marcus_Wallenberg_(born_1956)	201	0.02727272727272727	3	[]	[]	[]	[]	[]
Q687	1	51465	Moli%C3%A8re	30	0.3	3	[1;2;5]	[]	[1;2]	[1;2]	[1;2]
Q4709994	2	32411603	Albert_D._Bosson	207	0.21363636363636362	3	[]	[]	[]	[]	[]
Q7072169	2	33115311	O._S._Manian	206	0.21363636363636362	3	[]	[]	[]	[]	[]
Q7314	1	38172	Igor_Stravinsky	23	0.3	3	[3;2;1;4;5;40;8;88;57]	[]	[3]	[3;2;1]	[3;2;1;4]
Q7383878	4	5384883	Ryan_Bennett_(sportscaster)	213	0.10909090909090909	3	[5;6;1;4]	[]	[]	[5;6]	[5;6;1;4]
Q2442673	5	1387368	Tony_Killeen	208	0.05909090909090909	3	[]	[]	[]	[]	[]
Q12958427	2	44091709	Mihael_Zmajlović	211	0.21363636363636362	3	[]	[]	[]	[]	[]
Q93284	1	63135	Marc_Chagall	98	0.3	3	[1;12;2;3;40;4;5;7;13;21]	[]	[1]	[1]	[1;12]
Q213355	3	59378	John_Dryden	104	0.16818181818181818	3	[3;2;1;43]	[]	[]	[3;2]	[3;2;1;43]
Q8442	2	22416	Otto_von_Bismarck	161	0.21363636363636362	3	[1;2;3;75;21]	[]	[1]	[1;2;3]	[1;2;3]
Q5085069	3	25574817	Charlie_Jacobs	217	0.16818181818181818	3	[1;2;3;40]	[]	[1]	[1;2;3;40]	[1;2;3;40]
Q83155	4	9072	Jacques-Louis_David	121	0.10909090909090909	3	[1;3;2]	[1]	[1]	[1;3]	[1;3;2]
Q5446263	2	31970362	Fiach_Mac_Conghail	214	0.21363636363636362	3	[]	[]	[]	[]	[]
Q4755023	3	1206694	Andrea_Coote	215	0.16818181818181818	3	[1]	[1]	[1]	[1]	[1]
Q37030	6	30085	Thomas_Mann	17	0.03636363636363636	3	[1;3;6]	[1]	[1]	[1;3;6]	[1;3;6]
Q4719471	5	2553780	Alexander_MacEwen	212	0.05909090909090909	3	[]	[]	[]	[]	[]
Q5524863	5	2190442	Gary_Cohen	210	0.05909090909090909	3	[7;5]	[]	[7]	[7;5]	[7;5]
